#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B2879F
#Date Time: 2025-09-03 15:13:30.137
#Sample rate: 800000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: 0 V Sample Mode: Average
#Channel 2: Range: 500 mV/div Offset: 0 V Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Sine
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 500 mV
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 3.5 V
#Negative Supply: ON
#Voltage: -3.5 V

Time (s),Channel 1 (V),Channel 2 (V)
-0.005119375000000001,-0.3380573708580588,-0.3057457926782744
-0.005118125,-0.3363785548804797,-0.3034010278276097
-0.005116875,-0.3343639757073834,-0.3010562629769433
-0.005115625,-0.3310063437522268,-0.297371632497329
-0.005114375,-0.3266414222105212,-0.2956968004611399
-0.005113125,-0.3236195534508788,-0.2930170692032374
-0.005111875,-0.3219407374732998,-0.2906723043525727
-0.005110625000000001,-0.3182473423226275,-0.2879925730946714
-0.005109375,-0.3152254735629835,-0.284642909022292
-0.005108125,-0.3125393679988556,-0.2816282113571504
-0.005106875,-0.3095174992392147,-0.2789484800992492
-0.005105625,-0.3061598672840549,-0.2772736480630584
-0.005104375,-0.3024664721333826,-0.2735890175834441
-0.005103125,-0.3007876561558035,-0.2712442527327794
-0.005101875000000001,-0.298101550591677,-0.2688994878821147
-0.005100625,-0.2937366290499714,-0.2648798909952609
-0.005099375000000001,-0.2910505234858461,-0.2625351261445972
-0.005098125,-0.2870213651396551,-0.2595204284794558
-0.005096875,-0.2839994963800114,-0.2575106300360275
-0.005095625,-0.2809776276203705,-0.2544959323708886
-0.005094375,-0.2779557588607272,-0.2511462682985092
-0.005093125,-0.2756054164921175,-0.2484665370406079
-0.005091875,-0.2715762581459277,-0.2454518393754675
-0.005090625000000001,-0.2678828629952554,-0.2421021753030909
-0.005089375,-0.2651967574311273,-0.2397574104524246
-0.005088125000000001,-0.2621748886714864,-0.2370776791945233
-0.005086875,-0.2594887831073585,-0.2337280151221439
-0.005085625,-0.2537808087835886,-0.2297084182352886
-0.005084375,-0.2514304664149789,-0.226358754162912
-0.005083125,-0.2474013080687892,-0.2233440564977717
-0.005081875,-0.2460582552867259,-0.2213342580543448
-0.005080625,-0.2420290969405361,-0.2176496275747288
-0.005079375000000001,-0.2376641753988326,-0.2163097619457781
-0.005078125,-0.2343065434436724,-0.2106153330227347
-0.005076875000000001,-0.2309489114885158,-0.2089405009865463
-0.005075625,-0.2265839899468087,-0.2059258033214052
-0.005074375,-0.2235621211871651,-0.2019062064345508
-0.005073125,-0.2208760156230399,-0.2005663408056002
-0.005071875,-0.2161753308858185,-0.1958768111042707
-0.005070625,-0.2138249885172078,-0.1931970798463682
-0.005069375,-0.2108031197575655,-0.1895124493667522
-0.005068125000000001,-0.2054309086293149,-0.1861627852943756
