#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B2879F
#Date Time: 2025-09-03 15:14:52.438
#Sample rate: 800000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: 0 V Sample Mode: Average
#Channel 2: Range: 500 mV/div Offset: 0 V Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Sine
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 500 mV
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 3.5 V
#Negative Supply: ON
#Voltage: -3.5 V

Time (s),Channel 1 (V),Channel 2 (V)
-0.005119027777777778,-0.3380573708580588,-0.2752638496196332
-0.005117777777777778,-0.3383931340535746,-0.2732540511762063
-0.005116527777777777,-0.3333566861208358,-0.2695694206965891
-0.005115277777777778,-0.3296632909701635,-0.2668896894386877
-0.005114027777777777,-0.326977185406037,-0.2632050589590718
-0.005112777777777778,-0.3249626062329421,-0.2611952605156449
-0.005111527777777777,-0.3222765006688156,-0.2588504956649802
-0.005110277777777778,-0.3216049742777843,-0.2581805628505048
-0.005109027777777777,-0.316232763149531,-0.2534910331491751
-0.005107777777777777,-0.3122036048033398,-0.2498064026695584
-0.005106527777777778,-0.3091817360436989,-0.24813157063337
-0.005105277777777777,-0.3068313936750872,-0.2447819065609911
-0.005104027777777778,-0.3048168145019933,-0.2431070745248028
-0.005102777777777777,-0.3011234193513193,-0.2394224440451868
-0.005101527777777778,-0.2977657873961612,-0.2374126456017599
-0.005100277777777777,-0.2940723922454873,-0.2340629815293818
-0.005099027777777778,-0.2907147602903307,-0.2320531830859558
-0.005097777777777777,-0.28903594431275,-0.2297084182352902
-0.005096527777777777,-0.2856783123575897,-0.2256888213484345
-0.005095277777777778,-0.2809776276203705,-0.2216692244615826
-0.005094027777777777,-0.2782915220562424,-0.2199943924253921
-0.005092777777777778,-0.2745981269055701,-0.2169796947602532
-0.005091527777777777,-0.2715762581459277,-0.213630030687875
-0.005090277777777778,-0.2682186261907711,-0.2119551986516867
-0.005089027777777777,-0.2662040470176747,-0.2092754673937834
-0.005087777777777778,-0.2615033622804555,-0.2042509712852184
-0.005086527777777777,-0.2578099671297794,-0.2022411728417892
-0.005085277777777777,-0.2541165719791044,-0.198556542362172
-0.005084027777777778,-0.2517662296104947,-0.1958768111042707
-0.005082777777777777,-0.247737071264305,-0.193532046253606
-0.005081527777777778,-0.2460582552867259,-0.1905173485884657
-0.005080277777777777,-0.2420290969405361,-0.1871676845160875
-0.005079027777777778,-0.2386714649853795,-0.1841529868509486
-0.005077777777777777,-0.2339707802481566,-0.1814732555930447
-0.005076527777777778,-0.2309489114885157,-0.1777886251134304
-0.005075277777777778,-0.227927042728872,-0.1744389610410505
-0.005074027777777777,-0.2245694107737127,-0.1724291625976221
-0.005072777777777778,-0.2222190684051031,-0.1690794985252455
-0.005071527777777777,-0.2171826204723659,-0.1653948680456295
-0.005070277777777778,-0.2141607517127236,-0.1640550024166782
-0.005069027777777777,-0.2104673565620497,-0.1600354055298245
-0.005067777777777778,-0.2047593822382834,-0.1566857414574478
-0.005066527777777777,-0.2034163294562176,-0.153671043792306
-0.005065277777777777,-0.199387171110026,-0.150321379719926
-0.005064027777777778,-0.195358012763838,-0.146301782833074
-0.005062777777777777,-0.1920003808086788,-0.1426171523534571
-0.005061527777777778,-0.1896500384400692,-0.1406073539100311
-0.005060277777777777,-0.1849493537028478,-0.1375926562448908
-0.005059027777777778,-0.1815917217476897,-0.1339080257652748
-0.005057777777777777,-0.1785698529880473,-0.1312282945073723
-0.005056527777777778,-0.1748764578373751,-0.1282135968422333
-0.005055277777777777,-0.1705115362956678,-0.1238590335481403
-0.005054027777777777,-0.1664823779494764,-0.1218492351047118
-0.005052777777777778,-0.1627889827988041,-0.1181646046250975
-0.005051527777777777,-0.1604386404301916,-0.1151499069599556
-0.005050277777777778,-0.1564094820840037,-0.1118002428875789
-0.005049027777777777,-0.1517087973467822,-0.1087855452224386
-0.005047777777777778,-0.1483511653916257,-0.105435881150062
-0.005046527777777777,-0.1456650598274976,-0.1014162842632066
-0.005045277777777778,-0.1406286118947627,-0.09840158659806768
-0.005044027777777777,-0.1369352167440865,-0.09505192252568814
-0.005042777777777777,-0.1329060583978956,-0.09170225845330891
-0.005041527777777778,-0.130555716029286,-0.08935749360264528
-0.005040277777777777,-0.1261907944875804,-0.08600782953026712
-0.005039027777777778,-0.1218258729458748,-0.08165326623617553
-0.005037777777777777,-0.1177967145996851,-0.07897353497827297
-0.005036527777777778,-0.1151106090355598,-0.07562387090589634
-0.005035277777777777,-0.1094026347117897,-0.07160427401904104
-0.005034027777777778,-0.1067165291476644,-0.06892454276113974
-0.005032777777777778,-0.1020158444104418,-0.0645699794670469
-0.005031527777777777,-0.09966550204182931,-0.06222521461638066
-0.005030277777777778,-0.09563634369564138,-0.05887555054400403
-0.005029027777777777,-0.09160718534945161,-0.05485595365715024
-0.005027777777777778,-0.08690650061223022,-0.05150628958477207
-0.005026527777777777,-0.08287734226604046,-0.04916152473410736
-0.005025277777777778,-0.08019123670191516,-0.04614682706896839
-0.005024027777777777,-0.07616207835572418,-0.04179226377487541
-0.005022777777777777,-0.07246868320504901,-0.03978246533144639
-0.005021527777777778,-0.06978257764092373,-0.03509293563011909
-0.005020277777777777,-0.0637388401216374,-0.03174327155773926
-0.005019027777777778,-0.06004544497096513,-0.02805864107812496
-0.005017777777777777,-0.05568052342925955,-0.02504394341298461
-0.005016527777777778,-0.05299441786513305,-0.02303414496955772
-0.005015277777777777,-0.04862949632342747,-0.01800964886099048
-0.005014027777777778,-0.04493610117275519,-0.01465998478861384
-0.005012777777777777,-0.04090694282656375,-0.009970455087282894
-0.005011527777777777,-0.03654202128485619,-0.007625690236616202
-0.005010277777777778,-0.0321770997431526,-0.003271126942526575
-0.005009027777777777,-0.02949099417902395,-0.001261328499098004
-0.005007777777777778,-0.0247903094418047,0.002423301980516296
-0.005006527777777777,-0.02143267748664656,0.006107932460132272
-0.005005277777777778,-0.01807504553148842,0.008117730903559169
-0.005004027777777777,-0.01337436079426703,0.01247229419765078
-0.005002777777777778,-0.009345202448079102,0.0168268574917404
-0.005001527777777777,-0.005987570492919134,0.01950658874964491
-0.005000277777777777,-0.001958412146727843,0.02252128641478632
