#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B2879F
#Date Time: 2025-09-03 15:07:15.813
#Sample rate: 800000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: 0 V Sample Mode: Average
#Channel 2: Range: 500 mV/div Offset: 0 V Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Sine
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 500 mV
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 3.5 V
#Negative Supply: ON
#Voltage: -3.5 V

Time (s),Channel 1 (V),Channel 2 (V)
-0.005118819444444445,-0.3383931340535746,-0.2739239839906819
-0.005117569444444445,-0.3346997389029007,-0.2712442527327794
-0.005116319444444444,-0.332349396534288,-0.2688994878821128
-0.005115069444444445,-0.3279844749925844,-0.2648798909952609
-0.005113819444444444,-0.3256341326239737,-0.2618651933301205
-0.005112569444444445,-0.3239553166463947,-0.2608602941084071
-0.005111319444444444,-0.3202619214957207,-0.2568406972215533
-0.005110069444444445,-0.317911579127111,-0.2555008315926026
-0.005108819444444444,-0.3138824207809203,-0.2524861339274617
-0.005107569444444444,-0.3111963152167925,-0.2501413690767955
-0.005106319444444445,-0.3085102096526672,-0.2467917050044188
-0.005105069444444444,-0.306159867284055,-0.2441119737465152
-0.005103819444444445,-0.3028022353288984,-0.2417672088958515
-0.005102569444444444,-0.2987730769827087,-0.239087477637949
-0.005101319444444445,-0.2944081554410031,-0.2357378135655709
-0.005100069444444444,-0.2923935762679082,-0.2320531830859549
-0.005098819444444445,-0.2897074707037829,-0.2300433846425289
-0.005097569444444445,-0.2860140755531077,-0.226358754162912
-0.005096319444444444,-0.2839994963800108,-0.2243489557194837
-0.005095069444444445,-0.2796345748383073,-0.2213342580543448
-0.005093819444444444,-0.2769484692741785,-0.2199943924253912
-0.005092569444444445,-0.2719120213414435,-0.2149698963168263
-0.005091319444444444,-0.2702332053638645,-0.2122901650589237
-0.005090069444444445,-0.2672113366042235,-0.2099454002082601
-0.005088819444444444,-0.2641894678445798,-0.2069307025431187
-0.005087569444444445,-0.2601603094983919,-0.2039160048779797
-0.005086319444444445,-0.2571384407387478,-0.2015712400273136
-0.005085069444444444,-0.2537808087835879,-0.1988915087694097
-0.005083819444444445,-0.2500874136329156,-0.1958768111042707
